rank,junction_clean,volume,impact,active_days,active_cells,high_sev_events,junction_events,top_violation,top_vehicle,peak_dow,peak_hour,intensity,c_volume,c_impact,c_recur,c_intensity,priority_score,impact_share,cum_impact_share,volume_share,cum_volume_share
49,"BTP170 - Dr. Bheem Rao Palace, Chord Road",487,1693.5,86,5,79,487,WRONG PARKING,CAR,Tuesday,2,97.4,0.040973871733966744,0.04639900662251656,0.5608108108108109,0.06188491125531823,14.997671268853075,0.004409518936716178,0.8318524275788264,0.003955008730255411,0.8368863442563044
50,"BTP206 - Shankara Mutt Circle, Vijayanagar",597,1833.0,83,7,14,597,WRONG PARKING,CAR,Tuesday,5,85.28571428571429,0.0503053953172718,0.050248344370860926,0.5405405405405406,0.05407562483500427,14.88979909583416,0.004772747688810601,0.836625175267637,0.00484833719088805,0.8417346814471924
51,BTP215 - Vanivillas Junction,364,1129.5,95,12,13,364,NO PARKING,CAR,Sunday,11,30.333333333333332,0.030539531727180182,0.03083609271523179,0.6216216216216216,0.018651424642227857,14.70765299891437,0.0029409811863129157,0.8395661564539499,0.0029561050879116416,0.8446907865351041
52,"BTP226 - 33rd Cross, 11th Main, Jayanagar",374,1402.5,87,7,96,374,NO PARKING,CAR,Sunday,8,53.42857142857143,0.03138785205293519,0.03836920529801324,0.5675675675675675,0.03353941172498051,14.139000274244578,0.003651815948476197,0.8432179724024261,0.0030373167661509725,0.847728103301255
53,"BTP024 - NPS, Vijayanagar",565,1747.5,77,6,18,565,WRONG PARKING,CAR,Saturday,4,94.16666666666667,0.04759077027485579,0.04788907284768212,0.5,0.059800593063732865,14.00084955387054,0.004550123614946278,0.8477680960173724,0.0045884598205221915,0.8523165631217772
54,"BTP204 - ESI Hospital, Rajajinagar",504,1516.5,79,8,2,504,WRONG PARKING,CAR,Thursday,3,63.0,0.042416016287750255,0.04151490066225166,0.5135135135135135,0.039709484722162534,13.591414552914024,0.003948648046961963,0.8517167440643343,0.004093068583262273,0.8564096317050395
55,BTP220 - Puttanna Junction,256,777.0,87,3,3,256,NO PARKING,CAR,Sunday,7,85.33333333333333,0.021377672209026127,0.021109271523178808,0.5675675675675675,0.054106321715587255,13.543100846667203,0.002023145092310877,0.8537398891566451,0.002079018962926869,0.8584886506679663
56,"BTP115 - Sahasra Hospital, Jayanagar",286,874.5,88,6,6,286,NO PARKING,SCOOTER,Saturday,3,47.666666666666664,0.023922633186291144,0.023799668874172186,0.5743243243243243,0.029825089174438095,13.484530230287817,0.0022770146502263345,0.8560169038068715,0.0023226539976448613,0.8608113046656112
57,BTP067 - Jai Muni Rao Circle,338,1050.0,84,5,12,338,WRONG PARKING,CAR,Sunday,10,67.6,0.02833389888021717,0.028642384105960265,0.5472972972972973,0.04267480338647986,13.438568406858268,0.002733979854474158,0.8587508836613457,0.0027449547244893817,0.8635562593901006
58,BTP140 - Madiwala Check Post,293,1120.5,86,7,81,293,NO PARKING,CAR,Saturday,11,41.857142857142854,0.024516457414319646,0.03058774834437086,0.5608108108108109,0.026080069743312683,13.413482176848476,0.0029175470732745656,0.8616684307346202,0.002379502172412393,0.865935761562513
